SYM
+	ADD/CON
+=	ADDEQ
++	INC
-	MIN
--	DEC
-=	MINEQ
/	DIV
/=	DIVEQ
//	SCOM
/*	OCOM
*	MUL
*=	MULEQ
%	MOD
%=	MODEQ
^	EXP
^=	EXPEQ
=	EQ
==	EE
>	GT
>=	GE
<	LT
<=	LE
<>	NE
{	OCUR
}	CCUR
(	OP
)	CP
[	OS
]	CS
;	TER
,	SEP

KEYW
And	AND
Or	OR
Not	NOT
Read	READ
View	VIEW
Int	INT
Double	DOUBLE
Char	CHAR
String	STRING
Boolean	BOOLEAN
If	IF
Else	ELSE
Elif	ELIF
While	WHILE
Do	DO
For	FOR
Null	NULL
Void	VOID
Return	RETURN
Def	DEF
Const	CONST
Stop	STOP
Next	NEXT
Pass	PASS
Jumpto	JUMPTO
